Id,A1,A2,A3,A4,A5
1,10,4,7,6,12
2,,10,9,9,11
3,10,5,2,7,15
4,10,3,2,5,6
5,10,9,9,8,14
6,10,10,7,6,15
7,10,7,10,10,6
8,10,3,9,7,10
9,10,8,8,7,6
10,10,6,4,5,10
11,10,7,6,6,11
12,10,7,9,7,14
13,10,7,8,6,14
14,10,9,9,7,7
15,10,7,9,6,13
16,10,3,7,,0
17,10,10,7,6,10
18,10,9,4,6,14
19,10,9,7,8,15
20,10,9,8,6,11.5
21,10,9,3,5,14.5
22,10,7,5,7,6
23,10,7,2,8,8
24,10,8,8,8,15
25,10,6,9,9,14
26,10,9,8,6,13
27,10,6,8,7,6
28,10,6,7,5,11
29,10,9,5,6,10.5
30,10,0,6,5,7
31,10,5,6,6,15
32,10,5,10,8,15
33,10,6,10,8,13.5
34,10,3,0,,0
35,10,7,8,6,6
